rank,Economy,Income Group(Strength/Weakness),Strength / Weakness,Score
83,Albania,,,27.1
121,Algeria,Weakness,,19.5
80,Argentina,,,28.3
61,Armenia,,,32.6
23,Australia,Weakness,,48.4
19,Austria,Weakness,,50.1
82,Azerbaijan,,,27.2
79,Bahrain,Weakness,,28.4
116,Bangladesh,,,20.4
64,Belarus,,,31.3
22,Belgium,Weakness,,49.1
126,Benin,,,18.1
105,Bolivia (Plurinational State of),,,22.4
74,Bosnia and Herzegovina,,,29
89,Botswana,,,25.4
62,Brazil,,,31.9
71,Brunei Darussalam,Weakness,,29.8
37,Bulgaria,Strength,,40
118,Burkina Faso,,,20
100,Cabo Verde,,,23.9
110,Cambodia,,,21.5
119,Cameroon,,,20
17,Canada,,,52.3
54,Chile,Weakness,,33.9
14,China,Strength,,53.3
68,Colombia,,,30.8
56,Costarica,,,33.5
41,Croatia,,,37.3
29,Cyprus,,,45.7
24,Czech Republic (the),,,48.3
112,Côte d'Ivoire,,,21.2
6,Denmark,,Strength,57.5
90,Dominican Republic (the),,,25.1
99,Ecuador,Weakness,,24.1
96,Egypt,,,24.2
92,Elsalvador,,,24.8
25,Estonia,,,48.3
127,Ethiopia,,,18.1
7,Finland,,,57
12,France,,,53.7
63,Georgia,,,31.8
9,Germany,,,56.5
108,Ghana,,,22.3
43,Greece,,,36.8
106,Guatemala,Weakness,,22.4
130,Guinea,,Weakness,17.3
103,Honduras,,,23
11,"Hong Kong, China",,,54.2
35,Hungary,,,41.5
21,Iceland,Weakness,,49.2
48,India,Strength,,35.6
85,Indonesia,,,26.5
67,Iran (Islamic Republic of),,,30.9
15,Ireland,,,53
13,Israel,,,53.5
28,Italy,,,45.7
72,Jamaica,,,29.1
16,Japan,,,52.7
81,Jordan,,,27.8
77,Kazakhstan,,,28.6
86,Kenya,,,26.1
78,Kuwait,Weakness,,28.4
94,Kyrgyzstan,,,24.5
113,Lao People's Democratic Republic (the),,,20.6
36,Latvia,,,41.1
87,Lebanon,,,26
40,Lithuania,,,39.2
18,Luxembourg,,,50.8
115,Madagascar,,,20.4
111,Malawi,,,21.4
33,Malaysia,Strength,,42.4
123,Mali,,,19.2
27,Malta,,,46.4
52,Mauritius,,,34.4
55,Mexico,,,33.6
58,Mongolia,Strength,,33.4
49,Montenegro,,,35.4
75,Morocco,,,29
124,Mozambique,,,18.7
129,Myanmar,Weakness,,17.7
104,Namibia,Weakness,,22.5
95,Nepal,Strength,,24.4
5,Netherlands,,Strength,58.8
26,New Zealand,,,47
128,Niger (the),,,17.8
117,Nigeria,,,20.1
57,North Macedonia,,,33.4
20,Norway,Weakness,,49.3
84,Oman,Weakness,,26.5
107,Pakistan,,,22.3
73,Panama,Weakness,,29
97,Paraguay,Weakness,,24.1
76,Peru,,,28.8
50,Philippines,Strength,,35.2
38,Poland,,,40
31,Portugal,,,43.5
70,Qatar,Weakness,,30.8
10,Southkorea,,,56.1
59,Republic of Moldova (the),Strength,,33
46,Romania,,,36
47,Russian Federation (the),,,35.6
91,Rwanda,Strength,,25.1
66,Saudi Arabia,Weakness,,30.9
102,Senegal,,,23.7
53,Serbia,,,34.3
8,Singapore,,,56.6
39,Slovakia,,,39.7
32,Slovenia,,,42.9
60,Southafrica,,,32.7
30,Spain,,,45.6
101,Srilanka,Weakness,,23.8
2,Sweden,Strength,Strength,62.5
1,Switzerland,Strength,Strength,66.1
109,Tajikistan,,,22.2
44,Thailand,,,36.7
125,Togo,,,18.5
98,Trinidad and Tobago,Weakness,,24.1
65,Tunisia,Strength,,31.2
51,Turkey,,,34.9
114,Uganda,,,20.5
45,Ukraine,Strength,,36.3
34,Unitedarabemirates,,,41.8
4,United Kingdom (the),Strength,Strength,59.8
88,Tanzania,Strength,,25.6
3,United States of America (the),Strength,Strength,60.6
69,Uruguay,Weakness,,30.8
93,Uzbekistan,,,24.5
42,Vietnam,Strength,,37.1
131,Yemen,Weakness,Weakness,13.6
122,Zambia,Weakness,,19.4
120,Zimbabwe,,,20
