±¹°¡,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SouthKorea,32.0,-,31.6,-,31.2,-,31.4,-,-,-
China,43.7,42.4,42.2,39.7,39.2,38.6,38.5,-,-,-
Cyprus,31.5,32.6,34.3,37.0,35.6,34.0,32.9,31.4,32.7,-
Georgia,39.5,39.6,39.0,38.6,37.6,36.5,36.6,37.9,36.4,35.9
India,-,35.7,-,-,-,-,-,-,-,-
Indonesia,36.4,39.7,39.7,40.0,39.4,39.7,38.6,38.1,37.8,38.2
Iran,-,-,-,37.4,38.8,39.5,40.0,40.8,42.0,-
Iraq,-,-,29.5,-,-,-,-,-,-,-
Israel,42.5,-,41.3,-,39.8,-,39.0,-,-,-
Japan,32.1,-,-,32.9,-,-,-,-,-,-
Jordan,33.7,-,-,-,-,-,-,-,-,-
Kazakhstan,28.0,28.0,28.2,27.1,27.0,26.8,27.2,27.5,27.8,-
Kyrgyzstan,30.1,27.8,27.4,28.8,26.8,29.0,26.8,27.3,27.7,29.7
Lebanon,-,31.8,-,-,-,-,-,-,-,-
Malaysia,-,43.9,-,41.3,-,41.1,-,-,-,-
Pakistan,29.8,30.9,-,30.7,-,32.6,-,-,31.6,-
Philippines,-,-,46.5,-,-,44.6,-,-,42.3,-
Sri Lanka,-,-,38.7,-,-,-,39.3,-,-,-
Thailand,39.4,37.5,39.3,37.8,37.0,36.0,36.9,36.5,36.4,34.9
Turkey,38.8,40.0,40.2,40.2,41.2,42.9,41.9,41.4,41.9,41.9
United Arab Emirates,-,-,-,32.5,32.5,-,-,-,26.0,-
Vietnam,39.3,-,35.6,-,34.8,-,35.3,-,35.7,-
Yemen,-,-,-,-,36.7,-,-,-,-,-
Canada,33.6,-,33.5,33.8,33.2,33.7,32.7,33.3,-,-
Mexico,47.2,-,48.7,-,48.7,-,46.3,-,45.4,-
United states,40.0,40.9,40.9,40.7,41.5,41.2,41.1,41.2,41.4,-
Argentina,43.6,42.6,41.3,40.9,41.6,-,42.0,41.1,41.3,42.9
Bolivia,-,46.1,46.6,47.6,47.8,46.7,45.3,44.6,42.6,41.6
Brazil,-,52.9,53.5,52.8,52.1,51.9,53.3,53.3,53.9,53.4
Chile,-,46.0,-,45.8,-,44.4,-,44.4,-,-
Colombia,54.6,53.5,52.6,52.6,52.6,51.0,50.6,49.7,50.4,51.3
Costa Rica,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,48.0,48.2
Ecuador,48.8,45.9,46.1,46.9,45.0,46.0,45.0,44.7,45.4,45.7
El Salvador,43.5,42.3,41.8,43.4,41.6,40.6,40.0,38.0,38.6,38.8
